year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2015,84,36,Classic Irish-Style Dry Stout,Stearns Stout,Figueroa Mountain Brewing - Santa Barbara,Santa Barbara,CA,Dragoon’s Dry Irish Stout,Moylan’s Brewery & Restaurant,Novato,CA,Dry Stout,Reuben’s Brews,Seattle,WA
2015,85,39,Export Stout,"Fade to Black, Volume 1",Left Hand Brewing Co.,Longmont,CO,Black Rock Stout,Crossroads Brewing Co.,Athens,NY,Z-man Stout,Pizza Port Carlsbad,Carlsbad,CA
2015,86,39,American-Style Stout,Disorder Stout,Barley Brown’s Brewpub,Baker City,OR,Black Cliffs,Boise Brewing,Boise,ID,P2P,10 Barrel Brewing Co.,Bend,OR
2015,87,75,Sweet Stout or Cream Stout,West O CocO,West O Beer,West Okoboji,IA,Chocolate Milk Stout,Boxing Bear Brewing Co.,Albuquerque,NM,The Husstler,Huss Brewing,Tempe,AZ
2015,88,73,Oatmeal Stout,R & R Oatmeal Stout,Beaver Street Brewery,Flagstaff,AZ,Scripps Pier Stout,South Park Brewing - CA,San Diego,CA,Scaredy Cat,Vintage Brewing Co.,Madison,WI
2015,89,80,Imperial Stout,Double Negative,Grimm Artisanal Ales,Brooklyn,NY,Russian Imperial Stout,Iron Hill Brewery & Restaurant - Lancaster,Lancaster,PA,The Miller’s Toll,Raleigh Brewing Co.,Raleigh,NC
2015,90,55,Scotch Ale,MacPelican’s Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,OR,Black Lagoon Scottish Strong,Rip Current Brewery,San Marcos,CA,Real Heavy,Real Ale Brewing Co.,Blanco,TX
2015,91,39,Old Ale or Strong Ale,Old Scrooge,Silver City Brewery,Bremerton,WA,Innsmouth Olde Ale,Narragansett Brewing Co.,Providence,RI,MASSIVE! 2013,Gigantic Brewing Co.,Portland,OR
2015,92,56,Barley Wine-Style Ale,Fat Hog,Ritual Brewing Co.,Redlands,CA,Statik,Brewery Rickoli,Wheat Ridge,CO,Old Skook,Three Magnets Brewing,Olympia,WA
2014,7,46,Field Beer,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR,3 Pepper Ale,Rock Bottom Breweries,Broomfield,CO,Elektrick Cukumbahh,Trinity Brewing Co.,Colorado Springs,CO
2014,39,52,American-Style Amber Lager,Colorado Native Amber Lager,AC Golden,Golden,CO,Colorado Native Golden Lager,AC Golden,Golden,CO,Rocket Bike Lager,Moab Brewery,Moab,UT
2014,30,41,American-Style or International-Style,Pre-Flight Pilsner,Airways Brewing Co.,Kent,WA,Howdy Beer,The Post Brewing Co.,Lafayette,CO,Remain In Light,Cambridge Brewing Co.,Cambridge,MA
2014,89,51,Barley Wine-Style Ale,AleSmith Old Numbskull,AleSmith Brewing Co.,San Diego,CA,Mastiff Barleywine,Campbell Brewing Co.,Campbell,CA,Galaxian,Bootlegger’s Brewery,Fullerton,CA
2014,28,48,Kellerbier or Zwickelbier,Gold Beach Lager,Arch Rock Brewing Co.,Gold Beach,OR,Surfliner Lager,Figueroa Mountain Brewing Co.,Santa Barbara,CA,18th Rebellion,Horse Thief Hollow,Chicago,IL
2014,86,78,Imperial Stout,Quakertown,Armadillo Ale Works,Denton,TX,Double Negative,Grimm Artisanal Ales,Brooklyn,NY,Narwhal Imperial Stout,Sierra Nevada Brewing Co.,Chico,CA
2014,21,69,American-Belgo-Style Ale,White IPA,Badger Hill Brewing,St. Louis Park,MN,Belgian IPA,Gordon Biersch Brewery Restaurant,Rockville,MD,Le Freak,Green Flash Brewing Co.,San Diego,CA
2014,52,145,American-Style Pale Ale,Grunion,Ballast Point Brewing Co./Spirits Scripps Ranch,San Diego,CA,NYPA,Peekskill Brewery,Peekskill,NY,Reef Donkey APA,Tampa Bay Brewing Co.,Tampa,FL
2014,17,34,Fresh or Wet Hop Ale,Fresh Hop Pallet Jack IPA,Barley Brown’s Brew Pub,Baker City,OR,Fresh Hop Superpower IPA,Comrade Brewing Co.,Denver,CO,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM
2014,51,88,International-Style Pale Ale,Hand Truck Pale Ale,Barley Brown’s Brew Pub,Baker City,OR,Summer Ale,Fremont Brewing Co.,Seattle,WA,The Pupil,Societe Brewing Co.,San Diego,CA
2014,10,116,Coffee Beer,Mocha Machine,Beachwood BBQ & Brewing,Long Beach,CA,Batshit Crazy,MobCraft Beer,Madison,WI,Ascension,Community Beer Co.,Dallas,TX
2014,14,94,Session Beer,Oatmeal Stout,Benchmark Brewing Co.,San Diego,CA,Guillaume,Pizza Port Ocean Beach,Ocean Beach,CA,Mosaic Session Ale,Karl Strauss Brewing Co.,La Jolla,CA
2014,18,31,Indigenous/Regional Beer,Salmonberry Sour,Bend Brewing Co.,Bend,OR,Choc Lobster,Dogfish Head Brewings & Eats,Rehoboth Beach,DE,Sage Fight IPA,Deschutes Brewery,Bend,OR
2014,8,150,Herb and Spice Beer,Basil Beer,Blind Tiger Brewery & Restaurant,Topeka,KS,Aloha Piña,5 Stones Artisan Brewery,Cibolo,TX,Dawn Patrol Breakfast Stout,Coastal Empire Beer Co.,Savannah,GA
2014,85,55,Oatmeal Stout,Gold Medal Oatmeal Stout,Blue Corn Café and Brewery,Santa Fe,NM,Darkside of the Pint,Four Seasons Brewing Co.,Latrobe,PA,Backside Stout,Steamworks Brewing Co.,Durango,CO
2014,44,20,German-Style Doppelbock or Eisbock,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,The Kaiser,Avery Brewing Co.,Boulder,CO,The Regulator,Rahr & Sons Brewing Co.,Fort Worth,TX
2014,75,62,Belgian-Style Abbey Ale,Samuel Adams Tetravis,Boston Beer Co.,Boston,MA,Sanitarium,Bier Brewery,Indianapolis,IN,Dubbel Entendre,Sound Brewery,Poulsbo,WA
2014,41,19,American-Style Dark Lager,Lagerithm,Bottle Logic Brewing,Anaheim,CA,Old Virginia Dark,Devils Backbone Brewing Co. Outpost,Lexington,VA,Shiner Bock,Spoetzl Brewery,Shiner,TX
2014,72,115,French- and Belgian-Style Saison,Daily Wages,Brasserie Saint James,Reno,NV,Un Atout,Beachwood BBQ & Brewing,Long Beach,CA,Saison-Brett,Boulevard Brewing Co.,Kansas City,MO
